Service Type,Nb ground truths,Nb clusters,TP,FP,FN,Precision,Recall,F-measure
Application Services,6,19,1,18,5,0.05263157894736842,0.16666666666666666,0.08
Entity Services,6,35,0,35,6,0.0,0.0,0.0
Utility Services,8,13,1,12,7,0.07692307692307693,0.125,0.09523809523809525
Average,,,NULL,NULL,NULL,0.043184885290148446,0.09722222222222221,0.058412698412698416
