Service Type,Nb ground truths,Nb clusters,TP,FP,FN,Precision,Recall,F-measure
Application Services,37,27,0,27,37,0.0,0.0,0.0
Entity Services,26,29,0,29,26,0.0,0.0,0.0
Utility Services,27,23,1,22,26,0.043478260869565216,0.037037037037037035,0.039999999999999994
Average,,,NULL,NULL,NULL,0.014492753623188406,0.012345679012345678,0.01333333333333333
