Service Type,Nb ground truths,Nb clusters,TP,FP,FN,Precision,Recall,F-measure
Application Services,9,28,1,27,8,0.03571428571428571,0.1111111111111111,0.05405405405405406
Entity Services,8,23,0,23,8,0.0,0.0,0.0
Utility Services,2,1,1,0,1,1.0,0.5,0.6666666666666666
Average,,,NULL,NULL,NULL,0.3452380952380953,0.20370370370370372,0.24024024024024024
