Model,Microservice Ground Truth Count,Microservice Generated Count,TP,FP,FN,Precision,Recall,F-measure
custom_cmeans,11,7,0,7,11,0.0,0.0,0.0
cmeans,11,22,0,22,11,0.0,0.0,0.0
hierarchical,11,9,1,8,10,0.1111111111111111,0.09090909090909091,0.09999999999999999
