Model,Microservice Ground Truth Count,Microservice Generated Count,TP,FP,FN,Precision,Recall,F-measure
custom_cmeans,11,9,0,9,11,0.0,0.0,0.0
cmeans,11,12,0,12,11,0.0,0.0,0.0
hierarchical,11,10,1,9,10,0.1,0.09090909090909091,0.09523809523809525
