Model,Microservice Ground Truth Count,Microservice Generated Count,TP,FP,FN,Precision,Recall,F-measure
cmeans,11,22,4,18,7,0.18181818181818182,0.36363636363636365,0.24242424242424246
custom_cmeans,11,5,1,4,10,0.2,0.09090909090909091,0.12500000000000003
hierarchical,11,9,2,7,9,0.2222222222222222,0.18181818181818182,0.19999999999999998
