Model,Microservice Ground Truth Count,Microservice Generated Count,TP,FP,FN,Precision,Recall,F-measure
cmeans,43,24,6,18,37,0.25,0.13953488372093023,0.1791044776119403
custom_cmeans,43,22,5,17,38,0.22727272727272727,0.11627906976744186,0.15384615384615383
hierarchical,43,68,3,65,40,0.04411764705882353,0.06976744186046512,0.05405405405405406
