net.jforum.bbcode.Size_TestCase;net.jforum.bbcode.TagBaseTest;160.0
net.jforum.controllers.PostController;net.jforum.actions.helpers.ActionUtils;5.0
net.jforum.security.DownloadAttachmentRule;net.jforum.security.RoleManager;10.0
net.jforum.services.PostService;net.jforum.services.AttachmentService;20.0
net.jforum.core.hibernate.ForumDAOTestCase;net.jforum.repository.PostRepository;5.0
net.jforum.controllers.UserController;net.jforum.entities.UserSession;85.0
net.jforum.entities.Forum;net.jforum.entities.Topic;10.0
net.jforum.util.mail.SpammerFactory;net.jforum.util.mail.TopicReplySpammer;10.0
net.jforum.controllers.UserAdminController;net.jforum.services.UserService;15.0
net.jforum.services.PrivateMessageService;net.jforum.core.exceptions.ValidationException;20.0
net.jforum.security.ReplyTopicRule;net.jforum.repository.ForumRepository;10.0
net.jforum.core.hibernate.TopicWatchDAOTestCase;net.jforum.repository.TopicRepository;5.0
net.jforum.entities.Topic;net.jforum.entities.Topic;35.0
net.jforum.security.CreateNewTopicRule;net.jforum.repository.ForumRepository;10.0
net.jforum.core.hibernate.BadWordDAOTestCase;net.jforum.repository.BadWordRepository;5.0
net.jforum.core.SessionManagerTestCase;net.jforum.entities.UserSession;410.0
net.jforum.services.PollServiceTestCase;net.jforum.services.PollServiceTestCase;50.0
net.jforum.controllers.ForumController;net.jforum.entities.UserSession;20.0
net.jforum.extensions.PostReportCounterOperationTestCase;net.jforum.extensions.PostReportCounterOperation;25.0
net.jforum.core.events.topic.ForumTopicEventTestCase;net.jforum.entities.Topic;125.0
net.jforum.controllers.SearchControllerTestCase;net.jforum.controllers.SearchController;25.0
net.jforum.security.EditUserRuleTestCase;net.jforum.repository.UserRepository;10.0
net.jforum.plugins.post.PostEditInterceptor;net.jforum.security.RoleManager;20.0
net.jforum.services.PostServiceTestCase;net.jforum.entities.Post;470.0
net.jforum.util.I18nTestCase;net.jforum.util.I18n;150.0
net.jforum.formatters.BBCodeConfigParser;net.jforum.formatters.BBConfigFormatter;15.0
net.jforum.controllers.RankingAdminController;net.jforum.services.RankingService;25.0
net.jforum.controllers.ForumAdminController;net.jforum.security.RoleManager;40.0
net.jforum.services.GroupServiceTestCase;net.jforum.entities.UserSession;15.0
net.jforum.services.PrivateMessageServiceTestCase;net.jforum.entities.User;80.0
net.jforum.controllers.ForumControllerTestCase;net.jforum.util.GroupInteractionFilter;15.0
net.jforum.core.events.topic.TopicWatchTopicEventTestCase;net.jforum.repository.TopicWatchRepository;15.0
net.jforum.controllers.GroupAdminController;net.jforum.repository.CategoryRepository;15.0
net.jforum.services.ModerationService;net.jforum.repository.TopicRepository;20.0
net.jforum.core.tags.ImportFileTag;net.jforum.core.tags.ImportResponseWrapper;25.0
net.jforum.controllers.ForumAdminControllerTestCase;net.jforum.security.RoleManager;85.0
net.jforum.controllers.GroupAdminController;net.jforum.entities.Group;5.0
net.jforum.actions.interceptors.ControllerSecurityInterceptor;net.jforum.actions.interceptors.SecurityInterceptor;100.0
net.jforum.actions.helpers.AttachedFile;net.jforum.util.UploadUtils;10.0
net.jforum.controllers.SearchController;net.jforum.entities.util.SearchParams;15.0
net.jforum.services.TopicService;net.jforum.services.TopicService;20.0
net.jforum.services.TopicService;net.jforum.entities.Topic;120.0
net.jforum.services.PostServiceTestCase;net.jforum.services.ModerationLogService;10.0
net.jforum.core.events.topic.ForumTopicEvent;net.jforum.entities.Forum;15.0
net.jforum.core.hibernate.TopicDAOTestCase;net.jforum.entities.Post;50.0
net.jforum.security.AccessForumRule;net.jforum.entities.Forum;5.0
