class_name,service
net.jforum.repository.SmilieRepository,Entity Service 13
net.jforum.entities.Smilie,Entity Service 14
net.jforum.entities.Forum,Entity Service 15
net.jforum.entities.Config,Entity Service 16
net.jforum.entities.AttachmentExtensionGroup,Entity Service 17
net.jforum.plugins.post.ForumLimitedTime,Entity Service 18
net.jforum.repository.PollRepository,Entity Service 19
net.jforum.entities.Group,Entity Service 20
net.jforum.repository.ModerationLogRepository,Entity Service 21
net.jforum.entities.Category,Entity Service 22
net.jforum.entities.Ranking,Entity Service 23
net.jforum.plugins.post.ForumLimitedTimeRepository,Entity Service 24
net.jforum.entities.PollVoter,Entity Service 25
net.jforum.entities.PostReportStatus,Entity Service 26
net.jforum.entities.util.SearchMatchType,Entity Service 27
net.jforum.entities.Attachment,Entity Service 28
net.jforum.entities.Avatar,Entity Service 29
net.jforum.repository.SessionRepository,Entity Service 30
net.jforum.entities.ForumWatch,Entity Service 31
net.jforum.repository.BanlistRepository,Entity Service 32
net.jforum.repository.PrivateMessageRepository,Entity Service 33
net.jforum.repository.UserRepository,Entity Service 34
net.jforum.entities.User,Entity Service 35
net.jforum.entities.MostUsersEverOnline,Entity Service 36
net.jforum.entities.PrivateMessage,Entity Service 37
net.jforum.entities.Topic,Entity Service 38
net.jforum.entities.util.Pagination,Entity Service 39
net.jforum.entities.Post,Entity Service 40
net.jforum.repository.PostRepository,Entity Service 41
net.jforum.entities.util.SearchParams,Entity Service 42
net.jforum.repository.ConfigRepository,Entity Service 43
net.jforum.repository.AvatarRepository,Entity Service 44
net.jforum.entities.ForumStats,Entity Service 45
net.jforum.entities.UserSession,Entity Service 46
net.jforum.entities.util.SearchSort,Entity Service 47
net.jforum.repository.RecentTopicsRepository,Entity Service 48
net.jforum.repository.RSSRepository,Entity Service 49
net.jforum.entities.Banlist,Entity Service 50
net.jforum.repository.CategoryRepository,Entity Service 51
net.jforum.repository.RankingRepository,Entity Service 52
net.jforum.repository.GroupRepository,Entity Service 53
net.jforum.entities.AttachmentExtension,Entity Service 54
net.jforum.entities.Theme,Entity Service 55
net.jforum.entities.Poll,Entity Service 56
net.jforum.entities.PollOption,Entity Service 57
net.jforum.repository.TopicRepository,Entity Service 58
net.jforum.entities.util.SearchSortType,Entity Service 59
net.jforum.entities.Role,Entity Service 60
net.jforum.core.events.category.NewCategoryGroupPermissionsEvent,Utility Service 1
net.jforum.actions.helpers.ActionUtils,Utility Service 2
net.jforum.core.tags.SettingsTag,Utility Service 3
net.jforum.actions.helpers.PostFormOptions,Utility Service 4
net.jforum.formatters.SafeHtmlTagsFormatter,Utility Service 5
net.jforum.controllers.UserAdminController,Utility Service 6
