Phase 2 Model,Average Precision,Average Recall,Average F-measure
Louvain,0.7000000000000001,0.5416666666666666,0.5925925925925926
Infomap,0.3452380952380953,0.20370370370370372,0.24024024024024024
LabelPropagation,0.6666666666666666,0.5,0.5555555555555555
GirvanNewman,0.7333333333333334,0.5416666666666666,0.6068376068376068
FastGreedy,0.3452380952380953,0.20370370370370372,0.24024024024024024
Leiden,0.6666666666666666,0.46296296296296297,0.5359477124183006
Walktrap,0.6666666666666666,0.46296296296296297,0.5359477124183006
