class_name,service
net.jforum.entities.Role,Entity Service 1
net.jforum.entities.UserSession,Entity Service 1
net.jforum.entities.PostReport,Entity Service 1
net.jforum.entities.AvatarType,Entity Service 1
net.jforum.entities.Theme,Entity Service 1
net.jforum.entities.ForumStats,Entity Service 1
net.jforum.entities.PollOption,Entity Service 1
net.jforum.entities.Session,Entity Service 1
net.jforum.entities.Topic,Entity Service 1
net.jforum.repository.CategoryRepository,Entity Service 1
net.jforum.repository.PrivateMessageRepository,Entity Service 1
net.jforum.entities.Forum,Entity Service 1
net.jforum.entities.Poll,Entity Service 1
net.jforum.entities.Group,Entity Service 1
net.jforum.repository.RSSRepository,Entity Service 1
net.jforum.entities.util.Pagination,Entity Service 1
net.jforum.entities.TopicWatch,Entity Service 1
net.jforum.entities.ModerationLog,Entity Service 1
net.jforum.entities.PollVoter,Entity Service 1
net.jforum.entities.PrivateMessage,Entity Service 1
net.jforum.repository.TopicRepository,Entity Service 1
net.jforum.repository.ForumRepository,Entity Service 1
net.jforum.repository.UserRepository,Entity Service 1
net.jforum.plugins.post.ForumLimitedTime,Entity Service 1
net.jforum.entities.Attachment,Entity Service 1
net.jforum.entities.Post,Entity Service 1
net.jforum.entities.Ranking,Entity Service 1
net.jforum.entities.PostReportStatus,Entity Service 1
net.jforum.entities.User,Entity Service 1
net.jforum.entities.util.SearchSort,Entity Service 2
net.jforum.entities.util.SearchParams,Entity Service 2
net.jforum.entities.util.SearchSortType,Entity Service 2
net.jforum.repository.SearchRepository,Entity Service 2
net.jforum.entities.util.SearchMatchType,Entity Service 2
net.jforum.entities.AttachmentExtension,Entity Service 3
net.jforum.entities.AttachmentExtensionGroup,Entity Service 3
net.jforum.repository.RecentTopicsRepository,Entity Service 4
net.jforum.repository.BanlistRepository,Entity Service 5
net.jforum.repository.SmilieRepository,Entity Service 6
net.jforum.repository.GroupRepository,Entity Service 7
net.jforum.repository.PollRepository,Entity Service 8
net.jforum.repository.ConfigRepository,Entity Service 9
net.jforum.repository.ModerationLogRepository,Entity Service 10
net.jforum.entities.Banlist,Entity Service 11
net.jforum.repository.PostReportRepository,Entity Service 12
net.jforum.plugins.post.ForumLimitedTimeRepository,Entity Service 13
net.jforum.repository.TopicWatchRepository,Entity Service 14
net.jforum.repository.BadWordRepository,Entity Service 15
net.jforum.entities.ForumWatch,Entity Service 16
net.jforum.repository.AvatarRepository,Entity Service 17
net.jforum.repository.RankingRepository,Entity Service 18
net.jforum.entities.Smilie,Entity Service 19
net.jforum.repository.ThemeRepository,Entity Service 20
net.jforum.entities.MostUsersEverOnline,Entity Service 21
net.jforum.entities.Config,Entity Service 22
net.jforum.entities.BadWord,Entity Service 23
net.jforum.repository.PostRepository,Entity Service 24
net.jforum.repository.SessionRepository,Entity Service 25
net.jforum.util.I18n,Utility Service 1
net.jforum.util.mail.ActivationKeySpammer,Utility Service 1
net.jforum.formatters.BBConfigFormatter,Utility Service 1
