Service Type,Nb ground truths,Nb clusters,TP,FP,FN,Precision,Recall,F-measure
Application Services,9,9,9,0,0,1.0,1.0,1.0
Entity Services,8,5,1,4,7,0.2,0.125,0.15384615384615385
Utility Services,2,1,1,0,1,1.0,0.5,0.6666666666666666
Average,,,NULL,NULL,NULL,0.7333333333333334,0.5416666666666666,0.6068376068376068
