class_name,service
net.jforum.core.events.post.TopicWatchPostEvent,Application Service 8
net.jforum.actions.extensions.TopicWatchExtension,Application Service 8
net.jforum.services.TopicWatchService,Application Service 8
net.jforum.services.ModerationService,Application Service 9
net.jforum.services.ModerationLogService,Application Service 9
net.jforum.controllers.ModerationController,Application Service 9
net.jforum.controllers.RSSController,Application Service 10
net.jforum.services.RSSService,Application Service 10
net.jforum.services.PrivateMessageService,Application Service 11
net.jforum.controllers.PrivateMessageController,Application Service 11
net.jforum.controllers.ForumController,Application Service 12
net.jforum.services.MostUsersEverOnlineService,Application Service 12
net.jforum.services.CategoryService,Application Service 13
net.jforum.controllers.CategoryAdminController,Application Service 13
net.jforum.core.support.hibernate.SpringInterceptor,Application Service 14
net.jforum.core.support.hibernate.SpringSessionFactory,Application Service 14
net.jforum.controllers.RecentTopicsController,Application Service 15
net.jforum.security.TopicFilter,Application Service 15
net.jforum.actions.interceptors.ExtendsAnnotationInterceptor,Application Service 16
net.jforum.extensions.ActionExtensionManager,Application Service 16
net.jforum.services.RankingService,Application Service 17
net.jforum.controllers.RankingAdminController,Application Service 17
net.jforum.services.ConfigService,Application Service 18
net.jforum.controllers.ConfigController,Application Service 18
net.jforum.services.SmilieService,Application Service 19
net.jforum.controllers.SmilieAdminController,Application Service 19
net.jforum.controllers.ForumAdminController,Application Service 20
net.jforum.services.ForumService,Application Service 20
net.jforum.extensions.PostReportCounterOperation,Application Service 21
net.jforum.extensions.RequestOperation,Application Service 21
net.jforum.core.VRaptorCustomPathResolver,Application Service 22
net.jforum.events.EmptyCategoryEvent,Application Service 23
net.jforum.services.LostPasswordService,Application Service 24
net.jforum.controllers.LuceneAdminController,Application Service 25
net.jforum.core.support.hibernate.CacheEvictionRules,Application Service 26
net.jforum.controllers.ThemeController,Application Service 27
net.jforum.services.MessageFormatService,Application Service 28
net.jforum.controllers.BadWordAdminController,Application Service 29
net.jforum.controllers.BanlistAdminController,Application Service 30
net.jforum.controllers.SearchController,Application Service 31
net.jforum.events.EmptyForumEvent,Application Service 32
net.jforum.core.VRaptorCustomPathResolver,Application Service 33
net.jforum.events.EmptyCategoryEvent,Application Service 34
net.jforum.services.LostPasswordService,Application Service 35
net.jforum.controllers.LuceneAdminController,Application Service 36
net.jforum.core.support.hibernate.CacheEvictionRules,Application Service 37
net.jforum.controllers.ThemeController,Application Service 38
net.jforum.services.MessageFormatService,Application Service 39
net.jforum.controllers.BadWordAdminController,Application Service 40
net.jforum.controllers.BanlistAdminController,Application Service 41
net.jforum.controllers.SearchController,Application Service 42
net.jforum.events.EmptyForumEvent,Application Service 43
net.jforum.entities.util.SearchParams,Entity Service 1
net.jforum.entities.util.SearchSortType,Entity Service 1
net.jforum.repository.SearchRepository,Entity Service 1
net.jforum.entities.util.SearchMatchType,Entity Service 1
net.jforum.entities.util.SearchSort,Entity Service 1
net.jforum.repository.TopicRepository,Entity Service 2
net.jforum.entities.TopicWatch,Entity Service 2
net.jforum.entities.Topic,Entity Service 2
net.jforum.entities.util.Pagination,Entity Service 2
net.jforum.entities.Ranking,Entity Service 3
net.jforum.repository.UserRepository,Entity Service 3
net.jforum.entities.ModerationLog,Entity Service 3
net.jforum.entities.User,Entity Service 3
net.jforum.entities.Forum,Entity Service 4
net.jforum.plugins.post.ForumLimitedTime,Entity Service 4
net.jforum.repository.RSSRepository,Entity Service 4
net.jforum.entities.Theme,Entity Service 5
net.jforum.repository.CategoryRepository,Entity Service 5
net.jforum.entities.Category,Entity Service 5
net.jforum.entities.PollVoter,Entity Service 6
net.jforum.entities.PollOption,Entity Service 6
net.jforum.entities.Poll,Entity Service 6
net.jforum.entities.ForumStats,Entity Service 7
net.jforum.repository.ForumRepository,Entity Service 7
net.jforum.entities.AvatarType,Entity Service 8
net.jforum.entities.Avatar,Entity Service 8
net.jforum.entities.AttachmentExtension,Entity Service 9
net.jforum.entities.AttachmentExtensionGroup,Entity Service 9
net.jforum.entities.Role,Entity Service 10
net.jforum.entities.Group,Entity Service 10
net.jforum.entities.PostReport,Entity Service 11
net.jforum.entities.PostReportStatus,Entity Service 11
net.jforum.repository.PrivateMessageRepository,Entity Service 12
net.jforum.entities.PrivateMessage,Entity Service 12
net.jforum.entities.Attachment,Entity Service 13
net.jforum.entities.Post,Entity Service 13
net.jforum.entities.Session,Entity Service 14
net.jforum.entities.UserSession,Entity Service 14
net.jforum.repository.SmilieRepository,Entity Service 15
net.jforum.repository.RecentTopicsRepository,Entity Service 16
net.jforum.repository.TopicWatchRepository,Entity Service 17
net.jforum.entities.Banlist,Entity Service 18
net.jforum.repository.AvatarRepository,Entity Service 19
net.jforum.entities.ForumWatch,Entity Service 20
net.jforum.entities.Smilie,Entity Service 21
net.jforum.entities.BadWord,Entity Service 22
net.jforum.entities.MostUsersEverOnline,Entity Service 23
net.jforum.plugins.post.ForumLimitedTimeRepository,Entity Service 24
net.jforum.repository.ModerationLogRepository,Entity Service 25
net.jforum.repository.PostRepository,Entity Service 26
net.jforum.repository.GroupRepository,Entity Service 27
net.jforum.repository.BadWordRepository,Entity Service 28
net.jforum.repository.PollRepository,Entity Service 29
net.jforum.repository.RankingRepository,Entity Service 30
net.jforum.repository.SessionRepository,Entity Service 31
net.jforum.repository.ThemeRepository,Entity Service 32
net.jforum.entities.Config,Entity Service 33
net.jforum.repository.BanlistRepository,Entity Service 34
net.jforum.repository.ConfigRepository,Entity Service 35
net.jforum.repository.PostReportRepository,Entity Service 36
net.jforum.repository.SmilieRepository,Entity Service 37
net.jforum.repository.RecentTopicsRepository,Entity Service 38
net.jforum.repository.TopicWatchRepository,Entity Service 39
net.jforum.entities.Banlist,Entity Service 40
net.jforum.repository.AvatarRepository,Entity Service 41
net.jforum.entities.ForumWatch,Entity Service 42
net.jforum.entities.Smilie,Entity Service 43
net.jforum.entities.BadWord,Entity Service 44
net.jforum.entities.MostUsersEverOnline,Entity Service 45
net.jforum.plugins.post.ForumLimitedTimeRepository,Entity Service 46
net.jforum.repository.ModerationLogRepository,Entity Service 47
net.jforum.repository.PostRepository,Entity Service 48
net.jforum.repository.GroupRepository,Entity Service 49
net.jforum.repository.BadWordRepository,Entity Service 50
net.jforum.repository.PollRepository,Entity Service 51
net.jforum.repository.RankingRepository,Entity Service 52
net.jforum.repository.SessionRepository,Entity Service 53
net.jforum.repository.ThemeRepository,Entity Service 54
net.jforum.entities.Config,Entity Service 55
net.jforum.repository.BanlistRepository,Entity Service 56
net.jforum.repository.ConfigRepository,Entity Service 57
net.jforum.repository.PostReportRepository,Entity Service 58
net.jforum.util.mail.Spammer,Utility Service 1
net.jforum.util.mail.TopicReplySpammer,Utility Service 1
net.jforum.util.mail.SpammerFactory,Utility Service 1
net.jforum.util.JForumConfig,Utility Service 1
net.jforum.util.mail.EmailSenderTask,Utility Service 1
net.jforum.controllers.UserController,Utility Service 1
net.jforum.util.mail.PrivateMessageSpammer,Utility Service 1
net.jforum.core.exceptions.MailException,Utility Service 1
net.jforum.controllers.UserAdminController,Utility Service 1
net.jforum.util.mail.ActivationKeySpammer,Utility Service 1
net.jforum.util.mail.IdentifiableMimeMessage,Utility Service 1
net.jforum.util.mail.LostPasswordSpammer,Utility Service 1
net.jforum.core.tags.JForumTag,Utility Service 2
net.jforum.core.tags.TemplateResourceTag,Utility Service 2
net.jforum.core.tags.DisplayForumsTag,Utility Service 2
net.jforum.core.tags.SettingsTag,Utility Service 2
net.jforum.core.tags.DisplayCategoriesTag,Utility Service 2
net.jforum.core.tags.URLTag,Utility Service 2
net.jforum.util.SafeHtml,Utility Service 3
net.jforum.formatters.SafeHtmlAttributesFormatter,Utility Service 3
net.jforum.formatters.SafeHtmlTagsFormatter,Utility Service 3
net.jforum.formatters.Formatter,Utility Service 4
net.jforum.formatters.NewLineToHtmlBreakFormatter,Utility Service 4
net.jforum.formatters.HtmlEntitiesFormatter,Utility Service 4
net.jforum.core.tags.FormatSignatureTag,Utility Service 5
net.jforum.core.tags.DisplayFormattedMessageTag,Utility Service 5
net.jforum.formatters.PostFormatters,Utility Service 5
net.jforum.formatters.PostOptions,Utility Service 6
net.jforum.formatters.SmiliesFormatter,Utility Service 6
net.jforum.actions.helpers.ActionUtils,Utility Service 7
net.jforum.actions.helpers.PostFormOptions,Utility Service 7
net.jforum.core.tags.ImportFileTag,Utility Service 8
net.jforum.core.tags.ImportResponseWrapper,Utility Service 8
net.jforum.util.I18n,Utility Service 9
net.jforum.core.tags.I18nTag,Utility Service 9
net.jforum.util.ImageUtils,Utility Service 10
net.jforum.core.exceptions.ForumException,Utility Service 10
net.jforum.sso.RemoteUserSSO,Utility Service 11
net.jforum.sso.SSO,Utility Service 11
net.jforum.formatters.BBConfigFormatter,Utility Service 12
net.jforum.formatters.BBCode,Utility Service 12
net.jforum.sso.LoginAuthenticator,Utility Service 13
net.jforum.sso.DefaultLoginAuthenticator,Utility Service 13
net.jforum.actions.helpers.AttachedFile,Utility Service 14
net.jforum.util.UploadUtils,Utility Service 14
net.jforum.util.mail.SpammerTaskExecutor,Utility Service 15
net.jforum.util.MD5,Utility Service 16
net.jforum.core.events.category.NewCategoryGroupPermissionsEvent,Utility Service 17
net.jforum.util.URLBuilder,Utility Service 18
net.jforum.core.events.forum.NewForumGroupPermissionsEvent,Utility Service 19
net.jforum.controllers.AdminController,Utility Service 20
net.jforum.core.support.spring.RoleManagerFactoryBean,Utility Service 21
net.jforum.util.CategoryOrderComparator,Utility Service 22
net.jforum.sso.SSOUtils,Utility Service 23
net.jforum.util.ImageInfo,Utility Service 24
net.jforum.util.mail.MessageId,Utility Service 25
net.jforum.util.GroupInteractionFilter,Utility Service 26
net.jforum.actions.helpers.ApproveInfo,Utility Service 27
net.jforum.core.exceptions.ValidationException,Utility Service 28
net.jforum.core.tags.Functions,Utility Service 29
net.jforum.util.mail.SpammerTaskExecutor,Utility Service 30
net.jforum.util.MD5,Utility Service 31
net.jforum.core.events.category.NewCategoryGroupPermissionsEvent,Utility Service 32
net.jforum.util.URLBuilder,Utility Service 33
net.jforum.core.events.forum.NewForumGroupPermissionsEvent,Utility Service 34
net.jforum.controllers.AdminController,Utility Service 35
net.jforum.core.support.spring.RoleManagerFactoryBean,Utility Service 36
net.jforum.util.CategoryOrderComparator,Utility Service 37
net.jforum.sso.SSOUtils,Utility Service 38
net.jforum.util.ImageInfo,Utility Service 39
net.jforum.util.mail.MessageId,Utility Service 40
net.jforum.util.GroupInteractionFilter,Utility Service 41
net.jforum.actions.helpers.ApproveInfo,Utility Service 42
net.jforum.core.exceptions.ValidationException,Utility Service 43
net.jforum.core.tags.Functions,Utility Service 44
