class_name,service
net.jforum.controllers.CategoryAdminController,Application Service 84
net.jforum.entities.ForumStats,Entity Service 1
net.jforum.repository.SmilieRepository,Entity Service 2
net.jforum.repository.TopicRepository,Entity Service 3
net.jforum.entities.TopicWatch,Entity Service 4
net.jforum.repository.RecentTopicsRepository,Entity Service 5
net.jforum.repository.TopicWatchRepository,Entity Service 6
net.jforum.entities.Ranking,Entity Service 7
net.jforum.repository.UserRepository,Entity Service 8
net.jforum.entities.Forum,Entity Service 9
net.jforum.entities.ModerationLog,Entity Service 10
net.jforum.entities.Banlist,Entity Service 11
net.jforum.repository.AvatarRepository,Entity Service 12
net.jforum.entities.ForumWatch,Entity Service 13
net.jforum.entities.Theme,Entity Service 14
net.jforum.entities.Smilie,Entity Service 15
net.jforum.entities.BadWord,Entity Service 16
net.jforum.entities.MostUsersEverOnline,Entity Service 17
net.jforum.entities.AvatarType,Entity Service 18
net.jforum.entities.PollVoter,Entity Service 19
net.jforum.entities.AttachmentExtension,Entity Service 20
net.jforum.entities.Topic,Entity Service 21
net.jforum.plugins.post.ForumLimitedTimeRepository,Entity Service 22
net.jforum.repository.ModerationLogRepository,Entity Service 23
net.jforum.entities.Role,Entity Service 24
net.jforum.plugins.post.ForumLimitedTime,Entity Service 25
net.jforum.entities.PostReport,Entity Service 26
net.jforum.repository.ForumRepository,Entity Service 27
net.jforum.repository.PostRepository,Entity Service 28
net.jforum.repository.GroupRepository,Entity Service 29
net.jforum.entities.util.SearchParams,Entity Service 30
net.jforum.repository.BadWordRepository,Entity Service 31
net.jforum.entities.util.SearchSortType,Entity Service 32
net.jforum.repository.CategoryRepository,Entity Service 33
net.jforum.entities.Avatar,Entity Service 34
net.jforum.repository.SearchRepository,Entity Service 35
net.jforum.repository.PollRepository,Entity Service 36
net.jforum.entities.User,Entity Service 37
net.jforum.repository.PrivateMessageRepository,Entity Service 38
net.jforum.repository.RankingRepository,Entity Service 39
net.jforum.repository.RSSRepository,Entity Service 40
net.jforum.repository.SessionRepository,Entity Service 41
net.jforum.repository.ThemeRepository,Entity Service 42
net.jforum.entities.Attachment,Entity Service 43
net.jforum.entities.util.Pagination,Entity Service 44
net.jforum.entities.Config,Entity Service 45
net.jforum.entities.PollOption,Entity Service 46
net.jforum.entities.Session,Entity Service 47
net.jforum.entities.AttachmentExtensionGroup,Entity Service 48
net.jforum.entities.Group,Entity Service 49
net.jforum.entities.PrivateMessage,Entity Service 50
net.jforum.entities.UserSession,Entity Service 51
net.jforum.entities.util.SearchMatchType,Entity Service 52
net.jforum.entities.PostReportStatus,Entity Service 53
net.jforum.entities.util.SearchSort,Entity Service 54
net.jforum.entities.Category,Entity Service 55
net.jforum.entities.Poll,Entity Service 56
net.jforum.repository.BanlistRepository,Entity Service 57
net.jforum.repository.ConfigRepository,Entity Service 58
net.jforum.repository.PostReportRepository,Entity Service 59
net.jforum.entities.Post,Entity Service 60
net.jforum.util.mail.Spammer,Utility Service 1
net.jforum.util.mail.TopicReplySpammer,Utility Service 2
net.jforum.core.tags.JForumTag,Utility Service 3
net.jforum.formatters.PostOptions,Utility Service 4
net.jforum.util.mail.SpammerFactory,Utility Service 5
net.jforum.util.mail.SpammerTaskExecutor,Utility Service 6
net.jforum.actions.helpers.ActionUtils,Utility Service 7
net.jforum.util.MD5,Utility Service 8
