class_name,service
net.jforum.security.PrivateMessageOwnerRule,Application Service 11
net.jforum.core.support.hibernate.SpringInterceptor,Application Service 12
net.jforum.core.support.hibernate.SpringSessionFactory,Application Service 12
net.jforum.security.TopicFilter,Application Service 13
net.jforum.controllers.RecentTopicsController,Application Service 13
net.jforum.events.EmptyTopicEvent,Application Service 14
net.jforum.core.events.topic.ForumTopicEvent,Application Service 14
net.jforum.core.events.topic.TopicWatchTopicEvent,Application Service 14
net.jforum.core.events.post.BadWordEvent,Application Service 15
net.jforum.core.events.post.TopicPostEvent,Application Service 15
net.jforum.events.EmptyPostEvent,Application Service 15
net.jforum.core.events.post.TopicWatchPostEvent,Application Service 15
net.jforum.core.events.post.ForumPostEvent,Application Service 15
net.jforum.core.events.post.TopicReplyEvent,Application Service 15
net.jforum.actions.extensions.TopicWatchExtension,Application Service 15
net.jforum.services.TopicWatchService,Application Service 15
net.jforum.controllers.BanlistAdminController,Application Service 16
net.jforum.events.EmptyCategoryEvent,Application Service 17
net.jforum.services.LostPasswordService,Application Service 18
net.jforum.controllers.LuceneAdminController,Application Service 19
net.jforum.extensions.ActionExtensionManager,Application Service 20
net.jforum.actions.interceptors.ExtendsAnnotationInterceptor,Application Service 20
net.jforum.core.support.hibernate.CacheEvictionRules,Application Service 21
net.jforum.controllers.RankingAdminController,Application Service 22
net.jforum.services.RankingService,Application Service 22
net.jforum.controllers.ThemeController,Application Service 23
net.jforum.services.MessageFormatService,Application Service 24
net.jforum.controllers.MessageController,Application Service 25
net.jforum.services.TopicService,Application Service 25
net.jforum.services.PollService,Application Service 25
net.jforum.services.PostService,Application Service 25
net.jforum.controllers.PostController,Application Service 25
net.jforum.services.AttachmentService,Application Service 25
net.jforum.controllers.TopicController,Application Service 25
net.jforum.controllers.ConfigController,Application Service 26
net.jforum.services.ConfigService,Application Service 26
net.jforum.events.EmptyForumEvent,Application Service 27
net.jforum.services.SmilieService,Application Service 28
net.jforum.controllers.SmilieAdminController,Application Service 28
net.jforum.controllers.BadWordAdminController,Application Service 29
net.jforum.controllers.ForumAdminController,Application Service 30
net.jforum.services.ForumService,Application Service 30
net.jforum.entities.ForumStats,Entity Service 1
net.jforum.repository.RSSRepository,Entity Service 1
net.jforum.entities.Forum,Entity Service 1
net.jforum.entities.Session,Entity Service 1
net.jforum.entities.UserSession,Entity Service 1
net.jforum.plugins.post.ForumLimitedTime,Entity Service 1
net.jforum.repository.ForumRepository,Entity Service 1
net.jforum.repository.SmilieRepository,Entity Service 2
net.jforum.repository.TopicRepository,Entity Service 3
net.jforum.entities.TopicWatch,Entity Service 3
net.jforum.entities.User,Entity Service 3
net.jforum.entities.Ranking,Entity Service 3
net.jforum.repository.UserRepository,Entity Service 3
net.jforum.entities.ModerationLog,Entity Service 3
net.jforum.entities.util.Pagination,Entity Service 3
net.jforum.entities.Topic,Entity Service 3
net.jforum.repository.RecentTopicsRepository,Entity Service 4
net.jforum.repository.TopicWatchRepository,Entity Service 5
net.jforum.entities.AvatarType,Entity Service 6
net.jforum.entities.Avatar,Entity Service 6
net.jforum.repository.PostReportRepository,Entity Service 7
net.jforum.entities.Banlist,Entity Service 8
net.jforum.repository.AvatarRepository,Entity Service 9
