class_name,service
net.jforum.core.events.topic.ForumTopicEvent,Application Service 6
net.jforum.core.events.topic.TopicWatchTopicEvent,Application Service 6
net.jforum.services.RSSService,Application Service 7
net.jforum.controllers.RSSController,Application Service 7
net.jforum.services.PrivateMessageService,Application Service 8
net.jforum.controllers.PrivateMessageController,Application Service 8
net.jforum.services.MostUsersEverOnlineService,Application Service 9
net.jforum.controllers.ForumController,Application Service 9
net.jforum.controllers.CategoryAdminController,Application Service 10
net.jforum.services.CategoryService,Application Service 10
net.jforum.core.support.hibernate.SpringInterceptor,Application Service 11
net.jforum.core.support.hibernate.SpringSessionFactory,Application Service 11
net.jforum.security.TopicFilter,Application Service 12
net.jforum.controllers.RecentTopicsController,Application Service 12
net.jforum.actions.extensions.TopicWatchExtension,Application Service 13
net.jforum.services.TopicWatchService,Application Service 13
net.jforum.extensions.ActionExtensionManager,Application Service 14
net.jforum.actions.interceptors.ExtendsAnnotationInterceptor,Application Service 14
net.jforum.controllers.RankingAdminController,Application Service 15
net.jforum.services.RankingService,Application Service 15
net.jforum.services.ModerationService,Application Service 16
net.jforum.controllers.ModerationController,Application Service 16
net.jforum.controllers.ConfigController,Application Service 17
net.jforum.services.ConfigService,Application Service 17
net.jforum.services.SmilieService,Application Service 18
net.jforum.controllers.SmilieAdminController,Application Service 18
net.jforum.controllers.ForumAdminController,Application Service 19
net.jforum.services.ForumService,Application Service 19
net.jforum.extensions.RequestOperation,Application Service 20
net.jforum.extensions.PostReportCounterOperation,Application Service 20
net.jforum.core.VRaptorCustomPathResolver,Application Service 21
net.jforum.events.EmptyCategoryEvent,Application Service 22
net.jforum.services.LostPasswordService,Application Service 23
net.jforum.controllers.LuceneAdminController,Application Service 24
net.jforum.core.support.hibernate.CacheEvictionRules,Application Service 25
net.jforum.controllers.ThemeController,Application Service 26
net.jforum.services.MessageFormatService,Application Service 27
net.jforum.controllers.BadWordAdminController,Application Service 28
net.jforum.controllers.BanlistAdminController,Application Service 29
net.jforum.controllers.SearchController,Application Service 30
net.jforum.events.EmptyForumEvent,Application Service 31
net.jforum.core.VRaptorCustomPathResolver,Application Service 32
net.jforum.events.EmptyCategoryEvent,Application Service 33
net.jforum.services.LostPasswordService,Application Service 34
net.jforum.controllers.LuceneAdminController,Application Service 35
net.jforum.core.support.hibernate.CacheEvictionRules,Application Service 36
net.jforum.controllers.ThemeController,Application Service 37
net.jforum.services.MessageFormatService,Application Service 38
net.jforum.controllers.BadWordAdminController,Application Service 39
net.jforum.controllers.BanlistAdminController,Application Service 40
net.jforum.controllers.SearchController,Application Service 41
net.jforum.events.EmptyForumEvent,Application Service 42
net.jforum.repository.TopicRepository,Entity Service 1
net.jforum.entities.TopicWatch,Entity Service 1
net.jforum.entities.Ranking,Entity Service 1
net.jforum.repository.UserRepository,Entity Service 1
net.jforum.entities.Forum,Entity Service 1
net.jforum.entities.ModerationLog,Entity Service 1
net.jforum.entities.PollVoter,Entity Service 1
net.jforum.entities.Topic,Entity Service 1
net.jforum.plugins.post.ForumLimitedTime,Entity Service 1
net.jforum.entities.PostReport,Entity Service 1
net.jforum.entities.User,Entity Service 1
net.jforum.repository.PrivateMessageRepository,Entity Service 1
net.jforum.repository.RSSRepository,Entity Service 1
net.jforum.entities.Attachment,Entity Service 1
net.jforum.entities.util.Pagination,Entity Service 1
net.jforum.entities.PollOption,Entity Service 1
net.jforum.entities.Session,Entity Service 1
net.jforum.entities.PrivateMessage,Entity Service 1
net.jforum.entities.UserSession,Entity Service 1
net.jforum.entities.PostReportStatus,Entity Service 1
net.jforum.entities.Poll,Entity Service 1
net.jforum.entities.Post,Entity Service 1
net.jforum.repository.SearchRepository,Entity Service 2
net.jforum.entities.util.SearchMatchType,Entity Service 2
net.jforum.entities.util.SearchSort,Entity Service 2
net.jforum.entities.util.SearchParams,Entity Service 2
net.jforum.entities.util.SearchSortType,Entity Service 2
net.jforum.repository.CategoryRepository,Entity Service 3
net.jforum.entities.Theme,Entity Service 3
net.jforum.entities.Category,Entity Service 3
net.jforum.entities.ForumStats,Entity Service 4
net.jforum.repository.ForumRepository,Entity Service 4
net.jforum.entities.AvatarType,Entity Service 5
net.jforum.entities.Avatar,Entity Service 5
net.jforum.entities.AttachmentExtension,Entity Service 6
net.jforum.entities.AttachmentExtensionGroup,Entity Service 6
net.jforum.entities.Group,Entity Service 7
net.jforum.entities.Role,Entity Service 7
net.jforum.repository.SmilieRepository,Entity Service 8
net.jforum.repository.RecentTopicsRepository,Entity Service 9
net.jforum.repository.TopicWatchRepository,Entity Service 10
net.jforum.entities.Banlist,Entity Service 11
net.jforum.repository.AvatarRepository,Entity Service 12
net.jforum.entities.ForumWatch,Entity Service 13
net.jforum.entities.Smilie,Entity Service 14
net.jforum.entities.BadWord,Entity Service 15
net.jforum.entities.MostUsersEverOnline,Entity Service 16
net.jforum.plugins.post.ForumLimitedTimeRepository,Entity Service 17
net.jforum.repository.ModerationLogRepository,Entity Service 18
net.jforum.repository.PostRepository,Entity Service 19
net.jforum.repository.GroupRepository,Entity Service 20
net.jforum.repository.BadWordRepository,Entity Service 21
net.jforum.repository.PollRepository,Entity Service 22
net.jforum.repository.RankingRepository,Entity Service 23
net.jforum.repository.SessionRepository,Entity Service 24
net.jforum.repository.ThemeRepository,Entity Service 25
net.jforum.entities.Config,Entity Service 26
net.jforum.repository.BanlistRepository,Entity Service 27
net.jforum.repository.ConfigRepository,Entity Service 28
net.jforum.repository.PostReportRepository,Entity Service 29
net.jforum.repository.SmilieRepository,Entity Service 30
net.jforum.repository.RecentTopicsRepository,Entity Service 31
net.jforum.repository.TopicWatchRepository,Entity Service 32
net.jforum.entities.Banlist,Entity Service 33
net.jforum.repository.AvatarRepository,Entity Service 34
net.jforum.entities.ForumWatch,Entity Service 35
net.jforum.entities.Smilie,Entity Service 36
net.jforum.entities.BadWord,Entity Service 37
net.jforum.entities.MostUsersEverOnline,Entity Service 38
net.jforum.plugins.post.ForumLimitedTimeRepository,Entity Service 39
net.jforum.repository.ModerationLogRepository,Entity Service 40
net.jforum.repository.PostRepository,Entity Service 41
net.jforum.repository.GroupRepository,Entity Service 42
net.jforum.repository.BadWordRepository,Entity Service 43
net.jforum.repository.PollRepository,Entity Service 44
net.jforum.repository.RankingRepository,Entity Service 45
net.jforum.repository.SessionRepository,Entity Service 46
net.jforum.repository.ThemeRepository,Entity Service 47
net.jforum.entities.Config,Entity Service 48
net.jforum.repository.BanlistRepository,Entity Service 49
net.jforum.repository.ConfigRepository,Entity Service 50
net.jforum.repository.PostReportRepository,Entity Service 51
net.jforum.controllers.UserController,Utility Service 1
net.jforum.util.mail.TopicReplySpammer,Utility Service 1
net.jforum.util.mail.SpammerFactory,Utility Service 1
net.jforum.util.mail.PrivateMessageSpammer,Utility Service 1
net.jforum.util.I18n,Utility Service 1
net.jforum.core.tags.I18nTag,Utility Service 1
net.jforum.controllers.UserAdminController,Utility Service 1
net.jforum.util.mail.ActivationKeySpammer,Utility Service 1
net.jforum.util.JForumConfig,Utility Service 1
net.jforum.core.tags.JForumTag,Utility Service 2
net.jforum.core.tags.FormatSignatureTag,Utility Service 2
net.jforum.core.tags.DisplayCategoriesTag,Utility Service 2
net.jforum.core.tags.URLTag,Utility Service 2
net.jforum.core.tags.TemplateResourceTag,Utility Service 2
net.jforum.core.tags.DisplayForumsTag,Utility Service 2
net.jforum.core.tags.SettingsTag,Utility Service 2
net.jforum.formatters.SafeHtmlTagsFormatter,Utility Service 3
net.jforum.formatters.NewLineToHtmlBreakFormatter,Utility Service 3
net.jforum.formatters.HtmlEntitiesFormatter,Utility Service 3
net.jforum.util.SafeHtml,Utility Service 3
net.jforum.formatters.Formatter,Utility Service 3
net.jforum.formatters.SafeHtmlAttributesFormatter,Utility Service 3
net.jforum.util.mail.Spammer,Utility Service 4
net.jforum.core.exceptions.MailException,Utility Service 4
net.jforum.util.mail.IdentifiableMimeMessage,Utility Service 4
net.jforum.util.mail.EmailSenderTask,Utility Service 4
