Service Type,Nb ground truths,Nb clusters,TP,FP,FN,Precision,Recall,F-measure
Application Services,37,28,0,28,37,0.0,0.0,0.0
Entity Services,26,30,0,30,26,0.0,0.0,0.0
Utility Services,27,26,1,25,26,0.038461538461538464,0.037037037037037035,0.03773584905660377
Average,,,NULL,NULL,NULL,0.012820512820512822,0.012345679012345678,0.012578616352201257
