Service Type,Nb ground truths,Nb clusters,TP,FP,FN,Precision,Recall,F-measure
Application Services,6,9,1,8,5,0.1111111111111111,0.16666666666666666,0.13333333333333333
Entity Services,6,12,0,12,6,0.0,0.0,0.0
Utility Services,8,8,1,7,7,0.125,0.125,0.125
Average,,,NULL,NULL,NULL,0.0787037037037037,0.09722222222222221,0.0861111111111111
