Service Type,Nb ground truths,Nb clusters,TP,FP,FN,Precision,Recall,F-measure
Application Services,37,32,0,32,37,0.0,0.0,0.0
Entity Services,26,36,0,36,26,0.0,0.0,0.0
Utility Services,27,29,1,28,26,0.034482758620689655,0.037037037037037035,0.03571428571428571
Average,,,NULL,NULL,NULL,0.011494252873563218,0.012345679012345678,0.011904761904761904
