Service Type,Nb ground truths,Nb clusters,TP,FP,FN,Precision,Recall,F-measure
Application Services,7,5,0,5,7,0.0,0.0,0.0
Entity Services,6,5,1,4,5,0.2,0.16666666666666666,0.1818181818181818
Utility Services,5,2,0,2,5,0.0,0.0,0.0
Average,,,NULL,NULL,NULL,0.06666666666666667,0.05555555555555555,0.0606060606060606
