service1,service2,static_distance,semantic_distance
Application Service 10,Entity Service 24,0.0,0.7890194077789615
Application Service 10,Entity Service 25,0.0,0.7334326628645245
Application Service 10,Entity Service 26,0.0,0.8343248928719215
Application Service 10,Entity Service 27,0.0,0.7424364200087685
Application Service 10,Entity Service 28,0.0,0.7445480687391393
Application Service 10,Entity Service 29,0.0,0.7436899842318249
Application Service 10,Entity Service 3,0.0,0.7425226397477576
Application Service 10,Entity Service 30,0.0,0.6810965334277814
Application Service 10,Entity Service 31,0.0,0.747038768216291
Application Service 10,Entity Service 32,0.0,0.7225527671072718
Application Service 10,Entity Service 33,0.0,0.4875109436095405
Application Service 10,Entity Service 34,0.0,0.7960625460542045
Application Service 10,Entity Service 35,0.0,0.6813444382475142
Application Service 10,Entity Service 4,0.0,0.5170053194077739
Application Service 10,Entity Service 5,0.0,0.8271401087677119
Application Service 10,Entity Service 6,0.0,0.6985776557007725
Application Service 10,Entity Service 7,0.0,0.770374169748306
Application Service 10,Entity Service 8,0.0,0.5183270536797577
Application Service 10,Entity Service 9,0.0,0.5638656790248331
Application Service 10,Utility Service 1,0.0,0.7242132766525979
Application Service 10,Utility Service 10,0.0,0.796762871076524
Application Service 10,Utility Service 11,0.0,0.7333402733261607
Application Service 10,Utility Service 12,0.0,0.8280085836949848
Application Service 10,Utility Service 13,0.0,0.7960131741578365
Application Service 10,Utility Service 2,0.0,0.7269227183417073
Application Service 10,Utility Service 3,0.0,0.7615423655690892
Application Service 10,Utility Service 4,0.0,0.7855967217864515
Application Service 10,Utility Service 5,0.0,0.6588980367553052
Application Service 10,Utility Service 6,0.0,0.6017464966634085
Application Service 10,Utility Service 7,0.0,0.6969673444232437
Application Service 10,Utility Service 8,0.0,0.7238927518089371
Application Service 10,Utility Service 9,0.0,0.7506458773581659
Application Service 11,Application Service 1,0.0,0.0
Application Service 11,Application Service 10,0.0,0.0
Application Service 11,Application Service 12,0.0,0.0
Application Service 11,Application Service 13,0.0,0.0
Application Service 11,Application Service 14,0.0,0.0
Application Service 11,Application Service 15,0.0,0.0
Application Service 11,Application Service 16,0.0,0.0
Application Service 11,Application Service 17,0.0,0.0
Application Service 11,Application Service 18,0.0,0.0
Application Service 11,Application Service 19,0.0,0.0
Application Service 11,Application Service 2,0.0,0.0
Application Service 11,Application Service 3,0.0,0.0
Application Service 11,Application Service 4,0.0,0.0
Application Service 11,Application Service 5,0.0,0.0
