service1,service2,static_distance,semantic_distance
Application Service 5,Application Service 4,0.0,0.9257370656217353
Application Service 5,Application Service 6,0.0,0.8606447269549891
Application Service 5,Application Service 7,0.0,0.9120222572370548
Application Service 5,Application Service 8,0.0,0.7448237263354717
Application Service 5,Application Service 9,0.0,0.9481588988835036
Application Service 5,Entity Service 1,0.08333333333333331,0.8804018456625591
Application Service 5,Entity Service 10,0.6111111111111113,0.16023691386579034
Application Service 5,Entity Service 11,0.1388888888888889,0.810988064243586
Application Service 5,Entity Service 2,0.0,0.7272198339986624
Application Service 5,Entity Service 3,0.16666666666666669,0.847224445556527
Application Service 5,Entity Service 4,0.0,0.7619504846157383
Application Service 5,Entity Service 5,0.11111111111111108,0.6099931101824208
Application Service 5,Entity Service 6,0.0,0.7068809300532057
Application Service 5,Entity Service 7,0.1944444444444444,0.8932469025881664
Application Service 5,Entity Service 8,0.0,0.884647232035211
Application Service 5,Entity Service 9,0.08333333333333331,0.593872774351053
Application Service 5,Utility Service 1,0.0,0.767767953419546
Application Service 5,Utility Service 2,0.02777777777777777,0.9571903854296134
Application Service 5,Utility Service 3,0.0,0.9653233919014166
Application Service 6,Application Service 1,0.0,0.9804377195144047
Application Service 6,Application Service 10,0.0,0.0
Application Service 6,Application Service 2,0.0,0.9718451931766338
Application Service 6,Application Service 3,0.0,0.9798729027288484
Application Service 6,Application Service 4,0.0,0.9832629900459875
Application Service 6,Application Service 5,0.0,0.8606447269549891
Application Service 6,Application Service 7,0.0,0.9925743705174532
Application Service 6,Application Service 8,0.0,0.9774475595998284
Application Service 6,Application Service 9,0.0,0.8161983810518738
Application Service 6,Entity Service 1,0.0,0.9243299941522578
Application Service 6,Entity Service 10,0.0,0.5880580780150291
Application Service 6,Entity Service 11,0.0,0.7701212822132656
Application Service 6,Entity Service 2,0.0,0.9436397341038661
Application Service 6,Entity Service 3,0.0,0.8836439009398404
Application Service 6,Entity Service 4,0.0,0.9614298623498401
Application Service 6,Entity Service 5,0.08333333333333331,0.9099304457805152
Application Service 6,Entity Service 6,0.0,0.9456224324915403
Application Service 6,Entity Service 7,0.0,0.9230211962399288
Application Service 6,Entity Service 8,0.8333333333333335,0.8267877672749456
Application Service 6,Entity Service 9,0.0,0.9033148799637631
Application Service 6,Utility Service 1,0.0,0.8903671818176061
Application Service 6,Utility Service 2,0.0,0.8053029430167874
Application Service 6,Utility Service 3,0.0,0.7628815443260929
Application Service 7,Application Service 1,0.0,0.999183219188118
Application Service 7,Application Service 10,0.0,0.0
Application Service 7,Application Service 2,0.0,0.9927753345640626
Application Service 7,Application Service 3,0.0,0.9957957841605299
Application Service 7,Application Service 4,0.0,0.9961854371682466
Application Service 7,Application Service 5,0.0,0.9120222572370548
Application Service 7,Application Service 6,0.0,0.9925743705174532
Application Service 7,Application Service 8,0.0,0.9556191478586636
Application Service 7,Application Service 9,0.0,0.87110297971095
Application Service 7,Entity Service 1,0.0,0.9374338563719224
Application Service 7,Entity Service 10,0.0,0.5278096481395066
Application Service 7,Entity Service 11,0.0,0.8008996596569631
Application Service 7,Entity Service 2,0.0,0.9232480389466561
Application Service 7,Entity Service 3,0.47222222222222227,0.9025692857156152
Application Service 7,Entity Service 4,0.05555555555555554,0.9446814032677523
Application Service 7,Entity Service 5,0.0,0.8711902932769776
Application Service 7,Entity Service 6,0.1944444444444444,0.9217780102700772
Application Service 7,Entity Service 7,0.08333333333333331,0.9386560633903914
Application Service 7,Entity Service 8,0.0,0.8621344785057051
Application Service 7,Entity Service 9,0.0,0.8636853148014836
